,,,mean_peff,mean_peff,mean_peff,mean_peff,mean_precip
,,,mean,std,min,max,mean
dataset,region,method,,,,,
ERA5Land,Global,cropwat,28.31,19.51,9.89,75.42,31.5
ERA5Land,Global,dependable_rainfall,11.45,13.83,0.55,47.48,31.5
ERA5Land,Global,fao_aglw,10.99,12.89,0.55,44.07,31.5
ERA5Land,Global,farmwest,19.95,17.67,4.07,63.84,31.5
ERA5Land,Global,fixed_percentage,22.05,16.54,7.09,63.08,31.5
ERA5Land,Global,usda_scs,31.23,23.24,10.13,89.01,31.5
GridMET,US,cropwat,29.35,20.15,8.73,73.85,33.03
GridMET,US,dependable_rainfall,12.52,14.79,0.32,50.67,33.03
GridMET,US,fao_aglw,11.96,13.62,0.32,46.1,33.03
GridMET,US,farmwest,21.1,18.69,3.15,65.45,33.03
GridMET,US,fixed_percentage,23.12,17.51,6.24,64.59,33.03
GridMET,US,usda_scs,32.35,23.44,8.91,85.06,33.03
PRISM,US,cropwat,30.34,21.17,8.81,77.26,34.24
PRISM,US,dependable_rainfall,13.28,15.44,0.36,52.62,34.24
PRISM,US,fao_aglw,12.66,14.25,0.36,48.11,34.24
PRISM,US,farmwest,22.01,19.57,3.23,68.22,34.24
PRISM,US,fixed_percentage,23.97,18.33,6.3,67.18,34.24
PRISM,US,usda_scs,33.57,24.69,9.01,89.17,34.24
TerraClimate,Global,cropwat,31.05,21.32,7.13,64.83,34.81
TerraClimate,Global,dependable_rainfall,13.69,13.96,0.01,37.74,34.81
TerraClimate,Global,fao_aglw,13.1,13.17,0.01,35.46,34.81
TerraClimate,Global,farmwest,22.46,18.81,1.88,53.08,34.81
TerraClimate,Global,fixed_percentage,24.37,17.64,5.06,53.04,34.81
TerraClimate,Global,usda_scs,34.69,25.03,7.23,75.17,34.81
